01_027,"Pearl millet, variety ikmp 9, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 9, grain entier, cru (Burkina Faso) n=1",01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 9, grain entier, cru (Burkina Faso), n=1"
01_028,"Pearl millet, variety ikmp 10, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 10, grain entier, cru (Burkina Faso) n=1",01_028,"Pearl millet, IKMP 10 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 10, grain entier, cru (Burkina Faso), n=1"
01_029,"Pearl millet, variety ikmp 11, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 11, grain entier, cru (Burkina Faso) n=1",01_029,"Pearl millet, IKMP 11 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 11, grain entier, cru (Burkina Faso), n=1"
01_030,"Pearl millet, variety ikmp 12, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 12, grain entier, cru (Burkina Faso) n=1",01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 12, grain entier, cru (Burkina Faso), n=1"
01_031,"Pearl millet, variety ikmp 13, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 13, grain entier, cru (Burkina Faso) n=1",01_031,"Pearl millet, IKMP 13 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 13, grain entier, cru (Burkina Faso), n=1"
01_032,"Pearl millet, combined varieties, whole grain, raw (Burkina Faso)","Mil chandelle, variétés combinées, grain entier, cru (Burkina Faso)",01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)","Mil à chandelle, mélange de variétés, grains entiers, cru (Burkina Faso)"
01_064,"Pearl millet, combined varieties, whole grain, boiled* (without salt)","Mil chandelle, variétés combinées, grain entier, bouilli* (sans sel) (Burkina Faso)",01_064,"Pearl millet, combined varieties, whole grains (Burkina Faso), boiled* (without salt), drained","Mil à chandelle, mélange de variétés, grains entiers, (Burkina Faso), bouilli* (sans sel), égoutté"
01_034,"Rice, brown, raw","Riz, brun, cru",01_034,"Rice, brown, raw","Riz, brun, cru"
01_035,"Rice, brown, boiled* (without salt)","Riz, brun, bouilli* (sans sel)",01_035,"Rice, brown, boiled* (without salt), drained","Riz, brun, bouilli* (sans sel), égoutté"
01_065,"Rice, red native, hulled, raw","Riz, rouge, indigène, décortiqué, cru",01_065,"Rice, red native, hulled, raw","Riz, rouge, indigène, décortiqué, cru"
01_066,"Rice, red native, hulled, boiled* (without salt)","Riz, rouge, indigène, décortiqué, bouilli* (sans sel)",01_066,"Rice, red native, hulled, boiled* (without salt), drained","Riz, rouge, indigène, décortiqué, bouilli* (sans sel), égoutté"
01_067,"Rice, red native,  milled, raw","Riz, rouge, indigène, poli, cru",01_067,"Rice, red native, milled, raw","Riz, rouge, indigène, blanchi, cru"
01_068,"Rice, red native, milled, boiled* (without salt)","Riz, rouge, indigène, poli, bouilli* (sans sel)",01_068,"Rice, red native, milled, boiled* (without salt), drained","Riz, rouge, indigène, blanchi, bouilli* (sans sel), égoutté"
01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru",01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru"
