Code,Food name in English,Food name in French,BiblioID/Source,Scientific name,FoodEx2 Code,FoodEx2 Description,Exact Match (Yes/No),Comments
01_011,"Maize, POZA - RICA 7843 - SR  variety, whole kernel, dry, raw (Benin), n=1","Maïs, variété POZA - RICA 7843 - SR, grain entier, sec, cru (Bénin), n=1","5E, 01_004",Zea mays ,A000T#F28.A07HS$F28.A07KG$F10.A06HR,"Maize grain, PROCESS = Raw, no heat treatment, PROCESS = Drying (dehydration), QUALITATIVE-INFO = Integral /not refined",No,
01_012,"Maize, TZPB-SR variety, whole kernel, dry, raw (Benin), n=1","Maïs, variété TZPB-SR, grain entier, sec, cru (Bénin), n=1","5E, 01_004",Zea mays ,A000T#F28.A07HS$F28.A07KG$F10.A06HR,"Maize grain, PROCESS = Raw, no heat treatment, PROCESS = Drying (dehydration), QUALITATIVE-INFO = Integral /not refined",No,Pasta type missing
01_013,"Maize, Gnonli variety, whole kernel, dry, raw (Benin), n=1","Maïs, variété Gnonli, grain entier, sec, cru (Bénin), n=1","5E, 01_004",Zea mays,A000T#F28.A07HS$F28.A07KG$F10.A06HR,"Maize grain, PROCESS = Raw, no heat treatment, PROCESS = Drying (dehydration), QUALITATIVE-INFO = Integral /not refined",No,
01_014,"Maize, combined varieties, whole kernel, dry, raw (Benin)","Maïs, mélange de variétés, grain entier, sec, cru (Bénin)","5E, 01_004",Zea mays,A000T#F28.A07HS$F28.A07KG$F10.A06HR,"Maize grain, PROCESS = Raw, no heat treatment, PROCESS = Drying (dehydration), QUALITATIVE-INFO = Integral /not refined",Yes,"Yellow maize type missing, it was added as qualitative info"
01_123,"Maize, combined varieties, whole kernel (Benin), boiled* (as part of a recipe)","Maïs, mélange de variétés, grain entier (Bénin), bouilli* (ingrédient de recette)",calc. from / de 01_014,Zea mays,A000T#F28.A07GL$F10.A06HR,"Maize grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined",Yes,"Yellow maize type missing, it was added as qualitative info"
01_062,"Maize, combined varieties, whole kernel (Benin), boiled* (without salt), drained","Maïs, mélange de variétés, grain entier (Bénin), bouilli* (sans sel), égoutté",calc. from / de 01_014,Zea mays,A000T#F28.A07GL$F28.A07KE$F10.A06HR,"Maize grain, PROCESS = Boiling, PROCESS = Subtraction of water, QUALITATIVE-INFO = Integral /not refined",Yes,"Yellow maize type missing, it was added as qualitative info"
01_060,"Maize, white, grit, degermed, raw","Maïs, blanc, gruau, dégermé, cru","1M(368), FAO(74), SA10(3274; 3451; 3297), SA1013, 01_058",Zea mays,A002N#F28.A07HS$F28.A0CQY$F10.A0F2R,"Maize semolina, PROCESS = Raw, no heat treatment, PROCESS = Degermination, QUALITATIVE-INFO = White",No,"White maize type missing, it was added as qualitative info but not as a different variety"
01_080,"Maize, white, meal, sifted, unfortified","Maïs, blanc, farine tamisée, non enrichi","FAO(52), PH001, PH081, SA10(3269; 3449), SA1013, 01_004",Zea mays,A002P#F28.A07LB$F10.A0F2R$F10.A0F6D,"Maize meal, PROCESS = Sifting, QUALITATIVE-INFO = White, QUALITATIVE-INFO = Not fortified",No,"White maize type missing (it was added as qualitative info but not as a different variety), Special flour type missing"
01_091,"Maize, white, meal, sifted, fortified with vitamin A (Nigeria)","Maïs, blanc, farine tamisée, enrichi en vitamine A (Nigéria)","FAO(52), FORT16, PH001, PH081, SA10(3398; 3271), SA1013, 01_004",Zea mays,A002P#F28.A07LB$F09.A0EXZ$F10.A0F2R,"Maize meal, PROCESS = Sifting, FORTIFICATION-AGENT = Vitamin A     (retinol, carotenoids), QUALITATIVE-INFO = White",No,"White maize type missing, it was added as qualitative info but not as a different variety"
01_057,"Maize, white, meal, whole grains","Maïs, blanc, farine complète","1E, 2E, 3E(Maize, yellow, seed, dried / Grain de maïs jaune séché), 3P(1), 5N, 6N, 12B(004), 13V, 16V(2), 23N, FAO(42; 43; 44; 49), GH1032, GH2000, IN17(A006), NG1135, PH001, SA10(3271), SGS",Zea mays,A002P#F10.A06HR$F10.A0F2R,"Maize meal, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = White",No,"White maize type missing, it was added as qualitative info but not as a different variety"
01_058,"Maize, white, refined flour (special), unfortified","Maïs, blanc, farine raffinée (spécial), non enrichi","K2014, SA10(3270; 3271), SA1013, SGS",Zea mays,A002Q#F10.A07XK$F10.A0F6D,"Maize flour, QUALITATIVE-INFO = White/refined, QUALITATIVE-INFO = Not fortified",No,
01_092,"Maize, white, refined flour (special), fortified with vitamin A (Nigeria)","Maïs, blanc, farine raffinée (spécial), enrichi en vitamine A (Nigéria)","FORT16, K2014, SA10(3270; 3271), SGS, SA1013",Zea mays,A002Q#F09.A0EXZ$F10.A07XK,"Maize flour, FORTIFICATION-AGENT = Vitamin A     (retinol, carotenoids), QUALITATIVE-INFO = White/refined",No,Missing facet (type of millet)
01_081,"Maize, white, refined flour (super), unfortified","Maïs, blanc, farine raffinée (super), non enrichie","BF1044, BF1052, SA10(3397; 3297), SA1013, tu4Anfood, 01_058",Zea mays,A002Q#F10.A07XK$F10.A0F6D,"Maize flour, QUALITATIVE-INFO = White/refined, QUALITATIVE-INFO = Not fortified",No,
01_093,"Maize, white, refined flour (super), fortified with vitamin A (Nigeria)","Maïs, blanc, farine raffinée (super), enrichie en vitamine A (Nigéria)","BF1052, BF1044, FORT16, SA10(3397; 3297), SA1013, tu4Anfood, 01_058",Zea mays,A002Q#F09.A0EXZ$F10.A07XK,"Maize flour, FORTIFICATION-AGENT = Vitamin A     (retinol, carotenoids), QUALITATIVE-INFO = White/refined",No,Native type missing
01_004,"Maize, white, whole kernel, dry, raw","Maïs, blanc, grain entier, sec, cru","1E, 2E, 3E(Maize, yellow, seed, dried / Grain de maïs jaune séché), 3P(1), 5N, 6N, 12B(004), 13V, 16V(2), 23N, FAO(42; 43; 44; 49), GH1032, GH2000, IN17(A006), NG1135, PH001, SA10(3271), SGS",Zea mays,A000T#F28.A07HS$F28.A07KG$F10.A06HR$F10.A0F2R,"Maize grain, PROCESS = Raw, no heat treatment, PROCESS = Drying (dehydration), QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = White",Yes,Native type missing
01_104,"Maize, white, whole kernel, boiled* (as part of a recipe)","Maïs, blanc, grain entier, bouilli* (ingrédient de recette)",calc. from / de 01_004,Zea mays,A000T#F28.A07GL$F10.A06HR$F10.A0F2R,"Maize grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = White",No,Native type missing
01_005,"Maize, white, whole kernel, boiled* (without salt), drained","Maïs, blanc, grain entier, bouilli* (sans sel), égoutté",calc. from / de 01_004,Zea mays,A000T#F28.A07GL$F10.A0F2R$F10.A06HR$F10.A0CQE,"Maize grain, PROCESS = Boiling, QUALITATIVE-INFO = White, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = Without added salt",Yes,Native type missing
01_094,"Maize, white, whole kernel, dry, decorticated, raw","Maïs, blanc, grain entier, sec, décortiqué, cru","GH2000, 01_060",Zea mays,A000T#F28.A07LC$F28.A07HS$F28.A07KG$F10.A0F2R,"Maize grain, PROCESS = Removal of external layer, PROCESS = Raw, no heat treatment, PROCESS = Drying (dehydration), QUALITATIVE-INFO = White",No,
01_119,"Maize, white, whole kernel, decorticated, boiled* (as part of a recipe)","Maïs, blanc, grain entier, décortiqué, bouilli* (ingrédient de recette)",calc. from / de 01_094,Zea mays,A000T#F28.A07GL$F28.A07LC$F10.A0F2R,"Maize grain, PROCESS = Boiling, PROCESS = Removal of external layer, QUALITATIVE-INFO = White",No,"Red type missing, it was added as qualitative info"
01_118,"Maize, white, whole kernel, decorticated, boiled* (without salt), drained","Maïs, blanc, grain entier, décortiqué, bouilli* (sans sel), égoutté",calc. from / de 01_094,Zea mays,A000T#F28.A07GL$F28.A07LC$F10.A0F2R$F10.A0CQE,"Maize grain, PROCESS = Boiling, PROCESS = Removal of external layer, QUALITATIVE-INFO = White, QUALITATIVE-INFO = Without added salt",No,"White type missing, it was added as qualitative info but not as a different variety"
01_055,"Maize, yellow, grit, degermed, raw","Maïs, jaune, gruau, dégermé, cru","1M(367; 368), FAO(74), IN17(A006), SA10(1013; 3274; 3451; 3276), 01_006",Zea mays,A002N#F28.A07HS$F28.A0CQY$F10.A0F5H,"Maize semolina, PROCESS = Raw, no heat treatment, PROCESS = Degermination, QUALITATIVE-INFO = Yellow",No,
01_054,"Maize, yellow, meal, whole grains, unfortified","Maïs, jaune, farine complète, non enrichie","1M(367), 2E, 3E(Maize, white, seed, dried / Grain de maïs blanc séché), 3P(1), 5N, 6N, 12B(004), 13V, 16V(2), 22N, 23N, FAO(43; 44; 42; 49), GH1032, IN17(A006), NG1135, PH001, SA10(3276), SGS, 01_004",Zea mays,A002P#F10.A06HR$F10.A0F5H,"Maize meal, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = Yellow",No,
01_006,"Maize, yellow, whole kernel, dry, raw","Maïs, jaune, grain entier, sec, cru","1M(367), 2E, 3E(Maize, white, seed, dried / Grain de maïs blanc séché), 3P(1), 5N, 6N, 12B(004), 13V, 16V(2), 22N, 23N, FAO(43; 44; 42; 49), GH1032, IN17(A006), NG1135, PH001, SA10(3276), SGS, 01_004",Zea mays,A000T#F28.A07HS$F28.A07KG$F10.A06HR$F10.A0F5H,"Maize grain, PROCESS = Raw, no heat treatment, PROCESS = Drying (dehydration), QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = Yellow",Yes,
01_120,"Maize, yellow, whole kernel, boiled* (as part of a recipe)","Maïs, jaune, grain entier, bouilli* (ingrédient de recette)",calc. from / de 01_006,Zea mays,A000T#F28.A07GL$F10.A06HR$F10.A0F5H,"Maize grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = Yellow",No,"Yellow maize type missing, it was added as qualitative info"
